# PIMCID: N2-M100-cycle2-winding1-v2
# START_CONFIG 000000
      0        0        1      1.981E+01      1.120E+01      1.009E+01         99        0        1        1
      0        1        1      1.014E+01      1.011E+01      1.075E+01         99        1        1        0
      1        0        1      1.785E-01      1.091E+01      1.029E+01          0        1        2        0
      1        1        1      1.032E+01      1.037E+01      1.086E+01          0        0        2        1
      2        0        1      3.930E-01      1.088E+01      1.034E+01          1        0        3        0
      2        1        1      1.032E+01      1.020E+01      1.063E+01          1        1        3        1
      3        0        1      3.391E-01      1.137E+01      1.029E+01          2        0        4        0
      3        1        1      1.047E+01      1.035E+01      1.108E+01          2        1        4        1
      4        0        1      9.786E-01      1.112E+01      1.025E+01          3        0        5        0
      4        1        1      1.092E+01      1.061E+01      1.098E+01          3        1        5        1
      5        0        1      9.651E-01      1.073E+01      9.950E+00          4        0        6        0
      5        1        1      1.083E+01      1.068E+01      1.088E+01          4        1        6        1
      6        0        1      1.014E+00      1.086E+01      1.044E+01          5        0        7        0
      6        1        1      1.107E+01      9.955E+00      1.056E+01          5        1        7        1
      7        0        1      1.557E+00      1.076E+01      1.071E+01          6        0        8        0
      7        1        1      1.173E+01      1.079E+01      1.057E+01          6        1        8        1
      8        0        1      1.967E+00      1.072E+01      1.012E+01          7        0        9        0
      8        1        1      1.176E+01      1.048E+01      1.079E+01          7        1        9        1
      9        0        1      1.647E+00      1.104E+01      1.005E+01          8        0       10        0
      9        1        1      1.185E+01      1.035E+01      1.103E+01          8        1       10        1
     10        0        1      1.870E+00      1.096E+01      1.054E+01          9        0       11        0
     10        1        1      1.205E+01      1.076E+01      1.081E+01          9        1       11        1
     11        0        1      2.016E+00      1.075E+01      1.089E+01         10        0       12        0
     11        1        1      1.214E+01      1.047E+01      1.082E+01         10        1       12        1
     12        0        1      2.018E+00      1.051E+01      1.062E+01         11        0       13        0
     12        1        1      1.240E+01      1.078E+01      1.109E+01         11        1       13        1
     13        0        1      2.805E+00      1.080E+01      1.100E+01         12        0       14        0
     13        1        1      1.275E+01      1.095E+01      1.055E+01         12        1       14        1
     14        0        1      3.251E+00      1.097E+01      1.068E+01         13        0       15        0
     14        1        1      1.266E+01      1.068E+01      1.069E+01         13        1       15        1
     15        0        1      3.236E+00      1.044E+01      1.074E+01         14        0       16        0
     15        1        1      1.312E+01      1.087E+01      1.035E+01         14        1       16        1
     16        0        1      3.363E+00      1.059E+01      1.108E+01         15        0       17        0
     16        1        1      1.304E+01      1.100E+01      1.030E+01         15        1       17        1
     17        0        1      3.647E+00      1.040E+01      1.069E+01         16        0       18        0
     17        1        1      1.333E+01      1.095E+01      1.033E+01         16        1       18        1
     18        0        1      3.699E+00      1.062E+01      1.073E+01         17        0       19        0
     18        1        1      1.365E+01      1.092E+01      1.041E+01         17        1       19        1
     19        0        1      3.825E+00      1.006E+01      1.107E+01         18        0       20        0
     19        1        1      1.377E+01      1.109E+01      1.052E+01         18        1       20        1
     20        0        1      4.251E+00      1.043E+01      1.064E+01         19        0       21        0
