# PIMCID: N2-M100-cycle2-exchange
# START_CONFIG 000000
      0        0        1      9.247E-01      1.227E+01      1.014E+01         99        1        1        0
      0        1        1      1.106E+01      6.294E+00      9.794E+00         99        0        1        1
      1        0        1      8.359E-01      1.222E+01      1.012E+01          0        0        2        0
      1        1        1      1.123E+01      6.214E+00      1.017E+01          0        1        2        1
      2        0        1      1.401E+00      1.182E+01      9.936E+00          1        0        3        0
      2        1        1      1.101E+01      6.390E+00      9.793E+00          1        1        3        1
      3        0        1      1.262E+00      1.187E+01      1.026E+01          2        0        4        0
      3        1        1      1.109E+01      6.391E+00      9.587E+00          2        1        4        1
      4        0        1      1.378E+00      1.216E+01      1.007E+01          3        0        5        0
      4        1        1      1.141E+01      6.584E+00      9.285E+00          3        1        5        1
      5        0        1      1.570E+00      1.178E+01      1.006E+01          4        0        6        0
      5        1        1      1.177E+01      6.823E+00      9.632E+00          4        1        6        1
      6        0        1      1.489E+00      1.172E+01      1.049E+01          5        0        7        0
      6        1        1      1.157E+01      6.336E+00      9.335E+00          5        1        7        1
      7        0        1      1.428E+00      1.220E+01      1.030E+01          6        0        8        0
      7        1        1      1.180E+01      6.473E+00      9.241E+00          6        1        8        1
      8        0        1      1.836E+00      1.175E+01      1.078E+01          7        0        9        0
      8        1        1      1.197E+01      6.876E+00      9.358E+00          7        1        9        1
      9        0        1      1.968E+00      1.217E+01      1.032E+01          8        0       10        0
      9        1        1      1.173E+01      6.369E+00      8.909E+00          8        1       10        1
     10        0        1      1.943E+00      1.176E+01      1.082E+01          9        0       11        0
     10        1        1      1.192E+01      6.543E+00      8.934E+00          9        1       11        1
     11        0        1      1.896E+00      1.206E+01      1.043E+01         10        0       12        0
     11        1        1      1.240E+01      6.874E+00      8.622E+00         10        1       12        1
     12        0        1      1.915E+00      1.205E+01      1.087E+01         11        0       13        0
     12        1        1      1.235E+01      6.913E+00      8.444E+00         11        1       13        1
     13        0        1      2.228E+00      1.160E+01      1.102E+01         12        0       14        0
     13        1        1      1.239E+01      6.692E+00      8.335E+00         12        1       14        1
     14        0        1      2.301E+00      1.170E+01      1.100E+01         13        0       15        0
     14        1        1      1.250E+01      7.072E+00      8.479E+00         13        1       15        1
     15        0        1      2.287E+00      1.191E+01      1.107E+01         14        0       16        0
     15        1        1      1.255E+01      7.052E+00      8.392E+00         14        1       16        1
